ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
LIXC3,LIX DA CUNHA ON,,stock,175.0,20987800.0,53000.0,-8007000.0,13842000.0,10815000.0,,,,,,-262.0,,0.0,,24.0,Fraco
LIXC4,LIX DA CUNHA PN,,stock,145.0,17389800.0,53000.0,-8007000.0,13842000.0,10815000.0,,,,,,-217.0,,0.0,,24.0,Fraco
LJQQ3,QUERO-QUERO ON NM,Comércio,stock,147.0,286757000.0,2813320000.0,-192508000.0,343318000.0,-204645000.0,,-0.68,,58.0,,-149.0,84.0,0.0,,29.0,Regular
LOGG3,LOG COM PROP ON NM,Exploração de Imóveis,stock,2570.0,2257980000.0,259508000.0,402327000.0,3741490000.0,2167840000.0,1.08,,,,-0.027942,,60.0,,,55.83,Bom
LOGN3,Log-In ON NM,Transporte,stock,3050.0,3272850000.0,3077400000.0,29122000.0,1050050000.0,1398550000.0,0.28,0.09,,,-0.387175,,,0.0,,53.0,Bom
LPSB3,LOPES BRASIL ON NM,Exploração de Imóveis,stock,164.0,241990000.0,204086000.0,41187000.0,238217000.0,-73726000.0,1.73,,,,0.545985,,,,,67.5,Bom
LREN3,RENNER ON,Comércio,stock,1355.0,13642700000.0,15937600000.0,1493780000.0,10366100000.0,-1454490000.0,1.44,0.94,,,0.04109,,,0.66,,71.16,Bom
LREN4,RENNER PN,Comércio,stock,10500.0,105719000.0,15937600000.0,1493780000.0,10366100000.0,-1454490000.0,1.44,0.94,,,,7.0,1.0,0.0,,72.5,Bom
LUPA3,LUPATECH ON NM,"Petróleo, Gás e Biocombustíveis",stock,75.0,35488500.0,52054000.0,-60176000.0,74470000.0,177764000.0,,,,,,-59.0,48.0,0.0,,41.5,Regular
LUXM3,TREVISA INVESTIMENTOS SA ON,Transporte,stock,1000.0,415680000.0,156593000.0,20512000.0,172201000.0,-8935000.0,1.19,,,,0.267256,,,0.0,,65.0,Bom
LUXM4,TREVISA INVESTIMENTOS SA PN,Transporte,stock,360.0,149645000.0,156593000.0,20512000.0,172201000.0,-8935000.0,1.19,,,,0.267256,,87.0,0.38,,72.5,Bom
